sentence,sentiment
 1948년 스위스 생모리츠에서 열린 제5회 대회부터 동계올림픽 무대를 처음 밟은 한국은 2006년 이탈리아 토리노 대회에서 금메달 6개 은메달 3개 동메달 2개를 획득하고 종합순위 7위에 올랐다,0.9898290038108826
 2010년 캐나다 밴쿠버 대회에서는 금메달과 은메달 각각 6개 동메달 2개로 역대 가장 많은 메달을 수확하고 종합순위도 역대 가장 높은 5위를 차지했다,0.9967185854911804
 이 매체는 김연아는 밴쿠버 올림픽을 위해 2007년부터 캐나다 출신 올림픽 은메달리스트인 브라이언 오서에게 지도를 받았다,0.7176831960678101
 두 사람은 아메리카컵 8차 대회서 2분00초96로 은메달을 획득해 올림픽 참가를 확정했다,0.9321747422218323
 지난 밴쿠버 대회에서는 금메달 6개 은메달 6개 동메달 2개로 5위에 오르며 역대 최고 성적을 거둔 바 있다,0.895213782787323
  1948년 스위스 생모리츠에서 열린 제5회 대회에서 태극기를 앞세우고 동계올림픽 무대를 처음 밟은 한국은 2006년 이탈리아 토리노 대회에서 금메달 6개 은메달 3개 동메달 2개를 획득하고 종합순위 7위에 올랐다,0.9927530288696289
  이어 2010년 캐나다 밴쿠버 대회에서는 금메달과 은메달 각각 6개 동메달 2개로 역대 가장 많은 메달을 수확하고 종합순위도 역대 가장 높은 5위를 차지하며 겨울스포츠 강국으로 자리매김했다,0.9972211122512817
  그러나 올림픽 베테랑답게 금메달만 높이 평가하는 건 틀린 생각이라면서 은메달과 동메달도 똑같이 축하받아야 한다고도 덧붙였다,0.9818790555000305
  윤성빈은 20132014 시즌 제12차 대륙간컵에서 은메달을 목에 건 후 제7차 대륙간컵에서 금메달을 따내 세계를 깜짝 놀라게 했다,0.917022705078125
  모태범 역시 밴쿠버올림픽에서 500ｍ 금메달과 1000ｍ 은메달을 따낸 한국의 간판 스프린터로 소치올림픽에서는 두 종목을 모두 제패하겠다는 야심을 키우고 있다,0.9765891432762146
  이승훈은 불모지로 꼽히던 장거리 스피드스케이팅에서 탄생한 스타로 밴쿠버올림픽에서 5000ｍ 은메달과 10000ｍ 금메달을 목에 걸었다,0.9861014485359192
 안현수는 러시아 대표로 출전한 20132014시즌 4차례 월드컵에서 금메달 2개 은메달 6개 동메달 3개를 따냈고 최근 유럽선수권대회 5관왕에 올랐다,0.9932339787483215
 안현수는 러시아 대표로 출전한 20132014시즌 4차례 월드컵에서 금메달 2개 은메달 6개 동메달 3개를 따냈고 최근 유럽선수권대회 5관왕에 올랐다,0.9932339787483215
 최근에는 2004년 아테네 올림픽 여자 100m 은메달리스트 로린 윌리엄스31 2012년 런던 올림픽 여자 100m 허들 4위 롤로 존스32가 미국 봅슬레이 여자 대표팀에 합류해 화제가 됐다,0.8198679089546204
 2010 밴쿠버 올림픽 500m 금메달 1000m 은메달을 따냈던 모태범은 올림픽 시즌 들어 내내 1000m 주력 방침을 밝혀왔다,0.08204074203968048
 이어 리핀스키는 한국의 김연아24 등 강적들의 존재를 의식한 듯 올림픽은 메달을 예상하기가 정말 어렵다며 쓴웃음을 지은 뒤 아사다는 경험이 풍부한데다 은메달까지 따봤다,0.5466008186340332
  지난 해 세계선수권에서 3000ｍ 금메달 1500ｍ 은메달 개인종합 동메달을 획득한 심석희는 2013년 스키점프 세계선수권 개인 노멀힐 부문 금메달리스트인 사라 헨드릭슨19 미국 다음으로 언급됐다,0.9578679203987122
