sentence,sentiment
 일본의 아사다 마오는 은메달 안도 미키는 동메달 후보로 예상했습니다,0.18038950860500336
 스피드 스케이팅의 이규혁은 500m에서는 금메달 1000m에서는 동메달을 딸 것으로 내다봤습니다,0.21498720347881317
 한국 선수단의 예상 메달수는금메달 5개 은메달 5개 동메달 3개로 잡았고순위는 종합 8위로 점쳤습니다,0.9742981791496277
 라이벌 아사다 마오와 안도 미키이상 일본는 각각 은메달과 동메달 후보로 꼽혔다,0.662436842918396
 이규혁은 스피드스케이팅 남자 500ｍ 금메달과 1000ｍ 동메달 후보로 이름을 올렸다,0.5195375680923462
 또 남자 쇼트트랙의 성시백23·용인시청은 500ｍ와 1000ｍ에서 각각 은메달과 동메달을 이호석24·고양시청은 1500ｍ에서 동메달을 보태 한국이 금메달 5개 은메달 3개 동메달 3개로 종합순위 8위에 오를 것으로 내다봤다,0.7365553379058838
 이강석은 2006년 토리노 동계올림픽 500m에서 동메달을 땄다,0.22780874371528625
 국민들은 신예의 깜짝 동메달에 놀랐다,0.5812275409698486
 한국은 금메달 5개 은메달 3개 동메달 3개로 종합순위 8위에 오를 것으로 전망됐다,0.9642075896263123
 스피드스케이팅의 맏형 이규혁32·서울시청은 남자 500m에서 스피드스케이팅 역사상 최초의 금메달을 따고 1000m에서 동메달을 보탠다,0.9718453884124756
 남자 500m와 1000m에서 성시백23·용인시청이 은메달과 동메달을 추가하고 1500m에서는 이호석24·고양시청이 동메달을 딴다,0.3273426592350006
 2006 토리노 동계 올림픽에서는 2개의 금메달과 4개의 은메달 5개의 동메달만을 획득했을 뿐이었다,0.7519086003303528
  한국은 금메달 5 은메달 3 동메달 3개로 종합순위 8위에 오를 것으로 전망됐다,0.9793930053710938
  이정수21ㆍ단국대가 쇼트트랙 남자 1000ｍ와 1500ｍ 금메달 이규혁32ㆍ서울시청은 스피드스케이팅 남자 500ｍ 금메달과 1000ｍ 동메달 후보로 이름을 올렸다,0.7753590941429138
서울시청은 스피드스케이팅 남자 500ｍ 금메달과 1000ｍ 동메달 후보로 이름을 올렸다,0.5227007269859314
 동메달을 따낸 대표팀은 팬들의 따가운 시선을 받으며 조용히 귀국했다,0.13023069500923157
  이규혁32 서울시청은 스피드스케이팅 남자 500ｍ 금메달을 비롯해 1000ｍ 동메달 후보로 이름을 올렸다,0.8103939890861511
 한국은 성시백23 용인시청이 쇼트트랙 남자 500ｍ와 1000ｍ에서 각각 은메달과 동메달을 따고 이호석24 고양시청이 쇼트트랙 남자 1500ｍ에서 동메달을 보태 총 금메달 5개 은메달 3개 동메달 3개로 종합순위 8위에 오를 것으로 전망됐다,0.8154587745666504
 u3000  한편 미국 AP통신도 1일한국시간 피겨여왕 김연아 효자 종목 쇼트트랙 대표팀 한국 스피드 스케이팅의 맏형 이규혁 등을 금메달 기대주로 꼽으며 한국이 금메달 3개 은메달 3개 동메달 2개를 딸 것이라고 분석했다．  이지석기자 moami153 RELATEDARTICLESTART  관련기사아사다 마오 나와 김연아는 운명일지도… 아마발언대 김기찬 대한양궁협회 부회장 한국양궁 세트제 도입에 무너지지 않는다 양궁대표팀 고교궁사들 나도 박경모 박성현처럼 서리나 윌리엄스 관객의 응원이 나를 자극해 우승  RELATEDARTICLEEND 토토프로토 전경기 전문가 예상평 실시간 스코어 속보는 휴대폰열고 22365NATEmagicⓝezi 접속  대한민국 스포츠 연예 뉴스의 중심 스포츠서울닷컴 Copyrighs ⓒ 스포츠서울닷컴 무단 전재 및 재배포 금지기사제공  스포츠서울닷컴 기자 카드  본문 내 기자 정보  카피라이트 배너 Copyrigh ⓒ 스포츠서울닷컴,0.9962259531021118
 인천에 올라가 동메달을 따낸 것이다,0.6346713900566101
 당시 100m에서는 10초35의 기록으로 동메달을 따냈다,0.5718859434127808
 u3000사실은 인천 전국체전에 갔다가 동메달만 얻어 온 게 아니다,0.5276731252670288
 트랙 안에서는 동메달을 얻고 트랙 밖에서는 심장이 터질 듯한 설렘을 얻었다,0.9992619156837463
 어쩌면 그 성취감이 만든 초능력으로 동메달을 따냈는지도 모른다,0.9588250517845154
 마침 동메달 상금을 받은 터라 며칠은 버틸 수 있었다,0.6329511404037476
 선수별로는 이정수21가 쇼트트랙 남자 1000m와 1500m를 휩쓸 것으로 기대됐고 이규혁이 스피드스케이팅 남자 500m 금메달과 1000m 동메달을 따는 것으로 점쳐졌다,0.5399942994117737
 기사에 따르면 한국은 성시백23이 쇼트트랙 남자 500ｍ와 1000ｍ에서 각각 은메달과 동메달을 이호석24이 쇼트트랙 남자 1500ｍ에서 동메달을 보태 금메달 5개 은메달 3개 동메달 3개로 종합순위 8위에 오를 것으로 전망된다,0.9533637762069702
  이규혁 이정수 김연아 이규혁32ㆍ서울시청은 스피드스케이팅 남자 500ｍ 금메달과 1000ｍ 동메달 후보로 이름을 올렸다,0.6471582651138306
  한국은 성시백23ㆍ용인시청이 쇼트트랙 남자 500ｍ와 1000ｍ에서 각각 은메달과 동메달을 이호석24ㆍ고양시청이 쇼트트랙 남자 1500ｍ에서 동메달을 보태 금메달 5개 은메달 3개 동메달 3개로 종합순위 8위에 오를 것으로 전망됐다,0.9019376039505005
  그리고 1992년 제16회 프랑스 알베르빌 대회에서 스피드 스케이팅 남자 1000m에서 김윤만이 역사적인 은메달을 처음 목에 걸었고 2006년 제20회 이탈리아 토리노 동계올림픽에서 이강석이 500m에서 동메달을 획득했다,0.9062044024467468
 지난 해 12월 월드컵 4차대회에서 한국신기록을 세우며 은메달을 따낸 이상화는 월드컵 5차대회에서도 한국신기록을 연거푸 경신해 동메달 2개를 추가하며 기세를 이어갔다,0.9668211340904236
  그녀는 바로 2002년 솔트레이크 시티 동계 올림픽에서 스피드 스케이팅 선수로 변신하여 동메달을 획득한 바 있고 2006년 토리노 동계 올림픽에서는 금메달과 은메달을 획득했던 클라라 휴즈,0.9233590364456177
 김윤만37이 1992년 알베르빌올림픽프랑스 때 은메달을이강석25 · 의정부시청이 2006년 토리노올림픽이탈리아에서 동메달을 딴 게 전부다,0.016193639487028122
 하나는 메달 숫자 다른 하나는 메달의 의미인데 우선 한국은 금메달 5개 은메달 3개 동메달 4개를 목표로 한다,0.9790398478507996
  또 지난 2006년 토리노 동계올림픽 500ｍ에서 동메달을 목에 걸었던 이강석 역시 이번에는 금메달을 노리겠다는 강한 의지를 보였다,0.8989769816398621
 대회 전날까지 계속 컨디션을 끌어올리겠다라며 4년전 생애 첫 올림픽에서 동메달을 따서 기뻤지만 지금 생각해보면 아쉬움도 많이 남는다,0.7162027359008789
 1992 알베르빌 올림픽에서 김윤만이 은메달 2006 토리노 올림픽에서 이강석이 동메달을 따냈다,0.945052444934845
  같은 종목에서 앞서거니 뒤서거니하는 토리노 동계올림픽 동메달리스트 이강석도 금메달 후보다,0.7030023336410522
 이강석은 첫 올림픽 출전에서 동메달이라는 수확을 얻은 만큼 이번에는 금메달을 따고 싶다고 다부진 각오를 보이고 있다,0.9683684706687927
  조 회장은 또 지난해 5월 요코하마 세계선수권대회에서 여자복식 동메달을 획득한 김경아대한항공 박미영삼성생명과 여자대표팀의 현정화 감독 강희찬 코치에게 각각 500만원씩 총 2천만원의 격려금을 전달했다,0.8806824684143066
 그랑프리 파이널에서 은·동메달을 거머쥔 안도 미키23와 스즈키 아키코25·이상 일본 또 홈 이점을 등에 업은 조애니 로셰트24·캐나다도 김연아의 경쟁자다,0.7119809985160828
 u3000토리노에서 금메달 6개 은메달 3개 동메달 1개의 역대 최고 성적을 올렸던 쇼트트랙은 이번에도 가장 많은 메달을 딸 것으로 예상된다,0.9980964064598083
 500m는 동메달 정도면 만족하는 수준,0.3862752318382263
