sentence,sentiment
 u3000한국 남자 알파인 스키의 강민혁25ㆍ용평리조트은 1일 강원도 평창 보광휘닉스파크에서 열린 대회 첫날 남자일반부 슈퍼대회전에서 40초32의 기록으로 결승선을 통과해 금메달을 목에 걸었다,0.9678336381912231
 87회 동계체전 男일반부한국 알파인 스키의 간판 강민혁용평리조트이 1일 평창 보광휘닉스파크에서 벌어진 제87회 동계체전 남자일반부 슈퍼대회전에서 40초32의 기록으로 금메달을 땄다,0.995079755783081
 도약대 길이에 따라 K 90Normal Hill 개인 K 120Large Hill 개인 K 120 단체에 3개의 금메달이 걸려 있다,0.622440755367279
 전 세계 85개국에서 5000여명의 선수들이 스키와 빙상 바이애슬론 루지 봅슬레이 등 7개 종목에서 84개의 금메달을 놓고 격전을 치른다,0.9961189031600952
 월드컵대회에서 3차례나 세계 챔피언에 올랐고 올림픽 전 종목에 금메달 후보로 이름을 올린 한국의 에이스다,0.9987723231315613
 금메달 34개를 목표로 하고 있는 한국으로서는 안현수가 오노를 넘지 못한다면 목표달성도 어려울 전망이다,0.3487097918987274
 양양A는 2002년 솔트레이크시티 올림픽에서 500ｍ와 1000ｍ를 휩쓸며 중국에 동계올림픽 사상 첫 금메달을 선사했던 중국 최고의 스타,0.9891347885131836
 현재 세계 최강은 2002년 솔트레이크시티 올림픽 은메달 리스트인 러시아의 ‘피겨여왕’ 이리나 슬루츠카야이지만 콴이 제 기량을 발휘하면 금메달의 향방은 점치기가 어렵다,0.7519283890724182
 오랫동안 세계정상에 군림하고도 유독 올림픽과 인연을 맺지 못했던 콴과 2002년 미국의 텃세에 금메달을 놓쳤던 슬루츠카야 과연 누가 금메달의 한을 풀 수 있을까,0.9841123223304749
 마이어의 강력한 금메달 경쟁상대는 미국의 스키영웅 보드 밀러,0.8159503936767578
  동계체전에서만 무려 43개의 금메달을 땄던 허승욱도 34세의 많은 나이에도 녹슬지 않은 기량을 뽐내며 동메달을 목에 걸어 은퇴 무대를 뜻깊게 장식했다,0.9912716746330261
  토리노 동계올림픽 조직위원회 홈페이지에 따르면 이날 토리노 선수촌 개막식에는 100여명의 시민들과 자원봉사요원 취재진이 참석한 가운데 선수촌장으로 임명된 1994년 릴레함메르 동계올림픽 크로스컨트리 여자 금메달리스트 마누엘라 디 첸타가 테이프를 끊었다,0.9178224205970764
  한편 금메달 3개 이상을 따내 종합 메달순위 ‘톱 10’ 재진입을 목표로 잡은 한국선수단 본진은 3일 오후 대한항공 927편으로 장도에 오른다,0.9839957356452942
 이번 대회 첫 금메달 영광은 크로스컨트리 남자초등부 클래식 3㎞에서 12분15초로 골인한 강원도 대표 박제언도암초등 6학년에게 돌아갔다,0.7881890535354614
  2006토리노 동계올림픽 국가대표 강민혁은 1일 강원도 평창 보광휘닉스파크에서 열린 대회 첫날 남자일반부 슈퍼대회전에서 40초32의 기록으로 결승선을 통과해  금메달을 목에 걸었다,0.9543301463127136
